,parent,type,Treatment,Other,question
systm1,,,,,How has the provision of basic services by the government changed? Food security
systm2,,,,,How has the provision of basic services by the government changed? Education
systm3,,,,,How has the provision of basic services by the government changed? Infrastructures
systm4,,,,,How has the provision of basic services by the government changed? Health
systm5,,,,,How has the provision of basic services by the government changed? Security
systm6,,,,,How has the provision of basic services by the government changed? Justice
systm7,,,,,How has the provision of basic services by the government changed? Water
systm8,,,,,How has the provision of basic services by the government changed? Employment
systm9,,,,,How has the provision of basic services by the government changed? Shelter
mosttrusted_foodsect,,,drop,,Most trusted governance system Food security
secondtrusted_foodsect,,,drop,,Second most trusted governance system Food security
thirdtrusted_foodsect,,,drop,,Third most trusted governance system Food security
mosttrusted_educt,,,drop,,Most trusted governance system
secondtrusted_educt,,,drop,,Second most trusted governance system
thirdtrusted_educt,,,drop,,Third most trusted governance system
mosttrusted_inft,,,drop,,Most trusted governance system
secondtrusted_inft,,,drop,,Second most trusted governance system
thirdtrusted_inft,,,drop,,Third most trusted governance system
mosttrusted_healtht,,,drop,,Most trusted governance system
secondtrusted_healtht,,,drop,,Second most trusted governance system
thirdtrusted_healtht,,,drop,,Third most trusted governance system
mosttrusted_sect,,,drop,,Most trusted governance system
secondtrusted_sect,,,drop,,Second most trusted governance system
thirdtrusted_sect,,,drop,,Third most trusted governance system
mosttrusted_justt,,,drop,,Most trusted governance system
secondtrusted_justt,,,drop,,Second most trusted governance system
thirdtrusted_justt,,,drop,,Third most trusted governance system
mosttrusted_watt,,,drop,,Most trusted governance system
secondtrusted_watt,,,drop,,Second most trusted governance system
thirdtrusted_watt,,,drop,,Third most trusted governance system
mosttrusted_empt,,,drop,,Most trusted governance system
secondtrusted_empt,,,drop,,Second most trusted governance system
thirdtrusted_empt,,,drop,,Third most trusted governance system
mosttrusted_shelt,,,drop,,Most trusted governance system
secondtrusted_shelt,,,drop,,Second most trusted governance system
thirdtrusted_shelt,,,drop,,Third most trusted governance system
trust1,,,,,Estimate how you estimate your level of trust in FGS
trust2,,,,,Estimate how you estimate your level of trust in Juba land
trust3,,,,,Estimate how you estimate your level of trust in Governor
trust4,,,,,Estimate how you estimate your level of trust in District Commissioner
trust5,,,,,Estimate how you estimate your level of trust in Clan regulations
trust6,,,,,Estimate how you estimate your level of trust in Your elders
trust7,,,,,Estimate how you estimate your level of trust in Your community
trust8,,,,,Estimate how you estimate your level of trust in Your family
trust_obstacles1,,,,,How important is Clan favouritism as obstacle for you to trust your government
trust_obstacles2,,,,,How important is Capacity as obstacle for you to trust your government
trust_obstacles3,,,,,How important is Corruption as obstacle for you to trust your government
trust_obstacles4,,,,,How important is Nepotism as obstacle for you to trust your government
trust_obstacles5,,,,,How important is Government composition as obstacle for you to trust your government
trust_obstacles6,,,,,How important is Ability to really control the territory (security) as obstacle for you to trust your government
trust_obstacles7,,,,,How important is Poor  Communication as obstacle for you to trust your government
trust_obstacles8,,,,,How important is Insufficient  gender inclusion as obstacle for you to trust your government
trust_obstacles9,,,,,How important is Insufficient   youth inclusion as obstacle for you to trust your government
trust_obstacles10,,,,,How important is Insufficient  clan minorities inclusion as obstacle for you to trust your government
engagement,,,,,30) How has your or any household member’s engagement with local community changed or not since June 2018?
indicator1,,,,,"31) More specifically, how positive or negative is your perception regarding government role in improving access to education"
expind1,,,text,,31.1) Please explain your answer:
indicator2,,,,,"32) As a parent, how optimistic are you on your children's legitimate livelihoods opportunities in your area?"
indicator3,,,,,"33) As a parent, how optimistic are you on your children's legitimate livelihoods opportunities anywhere in Somalia?"
indicator4,,,,,"34) As a parent, how optimistic are you on your children's legitimate livelihoods opportunities outside of Somalia?"
gender HHH,,,,,Gender of the head of the household
female_sch_pourc,,continue,,,Percentage of girls scholarized
male_sch_pourc,,continue,,,Percentage of boys scholarized
child_sch_pourc,,continue,,,Percentage of children scholarized
female_madr_pourc,,continue,,,Percentage of girls scholarized in madrassa
male_madr_pourc,,continue,,,Percentage of boys scholarized in madrassa
child_madr_pourc,,continue,,,Percentage of children scholarized in madrassa
female_form_pourc,,continue,,,Percentage of girls scholarized in formal schools
male_form_pourc,,continue,,,Percentage of boys scholarized in formal schools
child_form_pourc,,continue,,,Percentage of children scholarized in formal schools
max_distance,,continue,,,Maximum distance to school
max_distance_male,,continue,,,Maximum distance to school for boys
max_distance_fem,,continue,,,Maximum distance to school for girls
conflict_driver,,,,,Main drivers of clonflict
instability_driver,,,,,Main drivers of instability
need,,,,,Main needs
foodsect,,,,,Most trusted governance system for Food Security
educt,,,,,Most trusted governance system for Education
inft,,,,,Most trusted governance system for Infrastructure
healtht,,,,,Most trusted governance system for Health
sect,,,,,Most trusted governance system for Security
justt,,,,,Most trusted governance system for Justice
watt,,,,,Most trusted governance system for Water
empt,,,,,Most trusted governance system for Employment
shelt,,,,,Most trusted governance system for Shelter
